population,n_yes,n_no,n_subj_yes,n_subj_no,median_yes,median_no,median_diff,cliffs_delta,magnitude,u_statistic,p_value,p_adj,significant
b_cell,331,325,331,325,9.785,9.7582,0.026799999999999713,0.027088078085056866,negligible,55244.5,0.5484035572786878,0.8851654237883753,False
cd8_t_cell,331,325,331,325,24.3957,24.601,-0.2052999999999976,-0.029467813153613798,negligible,52202.5,0.5138228421597713,0.8851654237883753,False
cd4_t_cell,331,325,331,325,29.6338,29.5305,0.10330000000000084,0.011656983499883866,negligible,54414.5,0.7962905866672978,0.8851654237883753,False
nk_cell,331,325,331,325,14.9973,14.8905,0.10679999999999978,-0.0065256797583082005,negligible,53436.5,0.8851654237883753,0.8851654237883753,False
monocyte,331,325,331,325,19.6056,20.286,-0.6804000000000023,-0.056388566116662764,negligible,50754.5,0.21146455611914672,0.8851654237883753,False
